,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
117,Le Port,RE,-20.9373,55.2919,69.76,76,85,4.54,overcast clouds
118,Nakhabino,RU,55.8514,37.1814,68.83,49,0,4.47,clear sky
119,Nuuk,GL,64.1835,-51.7216,52.41,66,75,3.44,broken clouds
120,La Baule-Escoublac,FR,47.2922,-2.364,67.95,83,0,11.5,clear sky
121,Islamkot,PK,24.6997,70.177,83.91,78,100,22.79,overcast clouds
122,Olinda,BR,-8.0089,-34.8553,74.93,78,75,12.66,broken clouds
123,Cayenne,GF,4.9333,-52.3333,83.08,80,75,1.99,broken clouds
124,Upernavik,GL,72.7868,-56.1549,41.13,81,16,13.22,few clouds
125,Vanimo,PG,-2.6741,141.3028,75.06,82,100,1.88,overcast clouds
126,Lompoc,US,34.6391,-120.4579,81.01,73,40,3.0,scattered clouds
127,Ornskoldsvik,SE,63.2909,18.7153,70.75,64,33,4.61,scattered clouds
128,Sijunjung,ID,-0.6876,100.9537,72.05,97,11,1.66,few clouds
129,Touros,BR,-5.1989,-35.4608,85.1,66,9,17.0,clear sky
130,Vallenar,CL,-28.5708,-70.7581,68.74,28,0,7.47,clear sky
131,Namibe,AO,-15.1961,12.1522,66.47,88,0,2.28,clear sky
132,Hasaki,JP,35.7333,140.8333,75.6,79,8,15.21,clear sky
133,Fort Morgan,US,40.2503,-103.8,90.81,27,1,3.44,clear sky
134,La Palma,US,33.8464,-118.0467,91.11,64,75,5.01,broken clouds
135,Solnechnyy,RU,50.7214,136.6319,72.52,75,100,1.57,overcast clouds
136,Waw,SS,7.7029,27.9953,71.24,98,100,5.37,light rain
137,Port Hardy,CA,50.6996,-127.4199,60.98,82,75,4.61,broken clouds
138,Honiara,SB,-9.4333,159.95,76.86,89,64,5.28,broken clouds
139,Coihaique,CL,-45.5752,-72.0662,45.21,53,75,5.75,broken clouds
140,Babstovo,RU,48.1167,132.4833,69.06,91,100,4.83,moderate rain
141,Torbay,CA,47.6666,-52.7314,62.76,89,75,8.05,broken clouds
142,Wanning,CN,18.8003,110.3967,79.29,92,70,9.08,broken clouds
143,Japura,ID,-0.3167,102.35,75.34,87,13,1.83,few clouds
144,Taoudenni,ML,22.6783,-3.9836,108.68,5,6,10.45,clear sky
145,Nardaran,AZ,40.5561,50.0056,80.24,69,0,16.11,clear sky
146,Pachperwa,IN,27.5167,82.65,84.43,78,100,7.25,overcast clouds
147,Kuytun,RU,54.3419,101.5036,60.03,66,75,1.81,broken clouds
148,Cidreira,BR,-30.1811,-50.2056,71.89,60,0,10.2,clear sky
149,Nizhniy Kuranakh,RU,58.8353,125.4869,58.86,86,100,1.97,overcast clouds
150,Ostrovnoy,RU,68.0531,39.5131,45.99,90,100,15.97,overcast clouds
151,Zhuhai,CN,22.2769,113.5678,86.05,84,20,5.75,few clouds
152,Kaeo,NZ,-35.1,173.7833,56.32,96,30,9.69,scattered clouds
153,Pervomayskoye,RU,43.919,46.7102,73.49,54,28,6.55,scattered clouds
154,Puerto Ayora,EC,-0.7393,-90.3518,80.56,83,37,8.99,scattered clouds
155,Leninskoye,KZ,41.7589,69.3864,89.38,17,0,7.16,clear sky
